method,axis,n_pos_test,assortativity_r,f1,acc,true_rate_g1,true_rate_g0,pred_rate_g1,pred_rate_g0,true_rate_gap,pred_rate_gap,excess_gap,delta_dp,delta_eo,ppv_g1,ppv_g0,ppv_gap,leakage_auc
GraphSAGE,gender,921,-0.04626284170352773,0.5977037946485926,0.8786999419616948,0.8794788122177124,0.9039900302886963,0.9424538612365723,0.9476309418678284,-0.024511218070983887,-0.0051770806312561035,0.019334137439727783,0.0051770806312561035,0.006257951259613037,0.8951612710952759,0.9210526347160339,-0.025891363620758057,0.8550975980244827
GraphSAGE+INLP+DPT@gender,gender,921,-0.04626284170352773,0.548957059194188,0.8688334300638422,0.8794788122177124,0.9039900302886963,0.9478827118873596,0.9551122188568115,-0.024511218070983887,-0.007229506969451904,0.017281711101531982,0.007229506969451904,0.007347762584686279,0.8877434134483337,0.91253262758255,-0.02478921413421631,0.5934607022075646
GraphSAGE,region,505,0.9006336002578305,0.5977037946485926,0.8786999419616948,0.8356435894966125,0.9137930870056152,0.908910870552063,0.959770143032074,-0.07814949750900269,-0.050859272480010986,0.0272902250289917,0.050859272480010986,0.03939652442932129,0.85838782787323,0.9264328479766846,-0.06804502010345459,0.6448877400055275
GraphSAGE+INLP+DPT@region,region,505,0.9006336002578305,0.5405079236332577,0.8740568775391758,0.8356435894966125,0.9137930870056152,0.9564356207847595,0.9630541801452637,-0.07814949750900269,-0.00661855936050415,0.07153093814849854,0.00661855936050415,0.012431681156158447,0.8385093212127686,0.9224211573600769,-0.08391183614730835,0.5913850005690224
GraphSAGE,age_group,1978,0.35194084081567617,0.5977037946485926,0.8786999419616948,0.9025885462760925,NaN,0.9495912790298462,NaN,NaN,NaN,NaN,0.031944215297698975,0.02242588996887207,0.9175035953521729,NaN,NaN,0.8028209648982207
GraphSAGE+INLP+DPT@age_group,age_group,1978,0.35194084081567617,0.5482813639949464,0.8717353453279164,0.9025885462760925,NaN,0.9564032554626465,NaN,NaN,NaN,NaN,0.0073836445808410645,0.008140206336975098,0.9109686613082886,NaN,NaN,0.5541619917721857
GraphSAGE,hungarian,109,0.13639756140544268,0.5977037946485926,0.8786999419616948,0.8623853325843811,0.8928129076957703,0.8807339668273926,0.9491945505142212,-0.03042757511138916,-0.06846058368682861,-0.03803300857543945,0.06846058368682861,0.06174051761627197,0.8854166865348816,0.9086161851882935,-0.023199498653411865,0.922546979980219
GraphSAGE+INLP+DPT@hungarian,hungarian,109,0.13639756140544268,0.557957831887303,0.8723157283807312,0.8623853325843811,0.8928129076957703,0.9908257126808167,0.9498141407966614,-0.03042757511138916,0.04101157188415527,0.07143914699554443,0.04101157188415527,0.028223633766174316,0.8611111044883728,0.9034572839736938,-0.042346179485321045,0.5790389140888783
GraphSAGE,roma,5,0.03207107162687396,0.5977037946485926,0.8786999419616948,0.6000000238418579,0.8917346000671387,1.0,0.9447031617164612,-0.29173457622528076,0.05529683828353882,0.3470314145088196,0.05529683828353882,0.03785902261734009,0.6000000238418579,0.9081947207450867,-0.30819469690322876,0.8300349243306169
GraphSAGE+INLP+DPT@roma,roma,5,0.03207107162687396,0.5057421723921889,0.8833430063842136,0.6000000238418579,0.8917346000671387,1.0,0.9831199049949646,-0.29173457622528076,0.0168800950050354,0.30861467123031616,0.0168800950050354,0.013707578182220459,0.6000000238418579,0.894612193107605,-0.29461216926574707,0.46740395809080326
GraphSAGE,anglicky,696,0.06894999897969,0.5977037946485926,0.8786999419616948,0.9482758641242981,0.851996123790741,0.9698275923728943,0.9279454946517944,0.09627974033355713,0.041882097721099854,-0.054397642612457275,0.041882097721099854,0.026415586471557617,0.9555555582046509,0.8730325102806091,0.08252304792404175,0.8977184971292348
GraphSAGE,nemecky,577,0.05470645838775148,0.5977037946485926,0.8786999419616948,0.9202772974967957,0.8760907649993896,0.9636048674583435,0.9354275465011597,0.044186532497406006,0.028177320957183838,-0.016009211540222168,0.028177320957183838,0.014580070972442627,0.9280575513839722,0.8964552283287048,0.031602323055267334,0.887286349021992
