dataset,seed,method,axis,lambda_chosen,acc,f1_macro,delta_dp,delta_eo,leakage_auc
pokec-z,3,FairGNN_two_opt_adv_gender,gender,0.5,0.9374,0.9372,0.033,0.0196,0.8259
pokec-z,3,FairGNN_two_opt_adv_gender,region,0.5,0.9374,0.9372,0.0369,0.0038,0.6457
pokec-z,3,FairGNN_two_opt_adv_gender,age_group,0.5,0.9374,0.9372,0.0259,0.0418,0.8521
pokec-z,3,FairGNN_two_opt_adv_gender,gender_x_age,0.5,0.9374,0.9372,0.0485,0.0697,0.8453
pokec-z,3,FairGNN_two_opt_adv_gender,gender_x_region,0.5,0.9374,0.9372,0.0648,0.0222,0.7452
pokec-z,7,FairGNN_two_opt_adv_gender,gender,1.0,0.9339,0.9337,0.0353,0.0143,0.8677
pokec-z,7,FairGNN_two_opt_adv_gender,region,1.0,0.9339,0.9337,0.031,0.0018,0.6239
pokec-z,7,FairGNN_two_opt_adv_gender,age_group,1.0,0.9339,0.9337,0.0362,0.0419,0.8437
pokec-z,7,FairGNN_two_opt_adv_gender,gender_x_age,1.0,0.9339,0.9337,0.0619,0.061,0.8517
pokec-z,7,FairGNN_two_opt_adv_gender,gender_x_region,1.0,0.9339,0.9337,0.06,0.0195,0.7661
pokec-z,21,FairGNN_two_opt_adv_gender,gender,1.0,0.9384,0.9382,0.0237,0.0046,0.8498
pokec-z,21,FairGNN_two_opt_adv_gender,region,1.0,0.9384,0.9382,0.0447,0.0057,0.6294
pokec-z,21,FairGNN_two_opt_adv_gender,age_group,1.0,0.9384,0.9382,0.0192,0.0524,0.8425
pokec-z,21,FairGNN_two_opt_adv_gender,gender_x_age,1.0,0.9384,0.9382,0.0448,0.0558,0.8471
pokec-z,21,FairGNN_two_opt_adv_gender,gender_x_region,1.0,0.9384,0.9382,0.0668,0.0109,0.758
pokec-z,42,FairGNN_two_opt_adv_gender,gender,0.1,0.9364,0.9361,0.0364,0.0208,0.7516
pokec-z,42,FairGNN_two_opt_adv_gender,region,0.1,0.9364,0.9361,0.0454,0.0032,0.6278
pokec-z,42,FairGNN_two_opt_adv_gender,age_group,0.1,0.9364,0.9361,0.0534,0.0665,0.847
pokec-z,42,FairGNN_two_opt_adv_gender,gender_x_age,0.1,0.9364,0.9361,0.0788,0.0931,0.8167
pokec-z,42,FairGNN_two_opt_adv_gender,gender_x_region,0.1,0.9364,0.9361,0.0755,0.0229,0.6929
pokec-z,99,FairGNN_two_opt_adv_gender,gender,1.0,0.9405,0.9403,0.0238,0.0082,0.847
pokec-z,99,FairGNN_two_opt_adv_gender,region,1.0,0.9405,0.9403,0.0251,0.0109,0.6301
pokec-z,99,FairGNN_two_opt_adv_gender,age_group,1.0,0.9405,0.9403,0.0168,0.0623,0.8416
pokec-z,99,FairGNN_two_opt_adv_gender,gender_x_age,1.0,0.9405,0.9403,0.0574,0.0702,0.845
pokec-z,99,FairGNN_two_opt_adv_gender,gender_x_region,1.0,0.9405,0.9403,0.0457,0.0198,0.7553
