rank,feature,coef,abs_coef,corr_gender,abs_corr_gender,corr_region,abs_corr_region
1,stredoskolske,4.0636578,4.0636578,0.019302616,0.019302616,0.008212569,0.008212569
2,zakladne,3.086898,3.086898,0.010095562,0.010095562,0.036764804,0.036764804
3,completion_percentage,2.969716,2.969716,0.017773237,0.017773237,0.056913044,0.056913044
4,vysokoskolske,2.2689734,2.2689734,0.009798863,0.009798863,-0.039451525,0.039451525
5,ucnovske,1.5623605,1.5623605,0.035278596,0.035278596,0.03211876,0.03211876
6,kto dobre vyzera,-0.46471018,0.46471018,0.07944684,0.07944684,0.0004985327,0.0004985327
7,dokazem mat sex s kymkolvek,0.4381098,0.4381098,0.07886958,0.07886958,-0.000052553096,0.000052553096
8,spoken_languages_indicator,0.3431021,0.3431021,0.019498244,0.019498244,0.037262164,0.037262164
9,hair_type_indicator,0.28376955,0.28376955,-0.032854702,0.032854702,0.04866392,0.04866392
10,hair_color_indicator,0.23543885,0.23543885,-0.016010303,0.016010303,0.040438574,0.040438574
11,humor,-0.2306977,0.2306977,-0.020675786,0.020675786,0.022938421,0.022938421
12,I_like_music_indicator,-0.22291277,0.22291277,0.028484963,0.028484963,0.04609477,0.04609477
13,my_passive_sports_indicator,-0.22066663,0.22066663,0.10779637,0.10779637,0.041833185,0.041833185
14,I_like_books_indicator,0.2130812,0.2130812,0.016154062,0.016154062,0.045703053,0.045703053
15,relation_to_alcohol_indicator,0.21187563,0.21187563,0.05943094,0.05943094,0.042273644,0.042273644
