language_token,n_g0,n_g1,n_r0,n_r1,n_users,prevalence_pct,prev_g0_pct,prev_g1_pct,prev_r0_pct,prev_r1_pct,gender_gap_pp,region_gap_pp,english_name
anglicky,11495,10560,15503,6552,21947,32.96879929096126,33.684981684981686,32.548391073850325,32.74958806878195,34.06999116010608,-1.1365906111313606,1.3204030913241311,english
nemecky,7518,6776,10388,3906,14179,21.29970406645736,22.03076923076923,20.885217605720623,21.944315349190923,20.310956268524777,-1.1455516250486077,-1.6333590806661462,german
rusky,1873,1883,2568,1188,3732,5.606213102194715,5.488644688644689,5.803846628036,5.424817271536609,6.177525869689564,0.31520193939131147,0.7527085981529549,russian
slovensky,1720,1492,1976,1236,3208,4.819059922786883,5.04029304029304,4.598693132782641,4.174236342895771,6.427122874525505,-0.44159990751039935,2.252886531629734,slovak
francuzsky,1353,1304,1978,679,2617,3.9312592948669804,3.964835164835165,4.0192331401800026,4.1784612784655035,3.5307576309084294,0.05439797534483759,-0.6477036475570741,french
taliansky,1088,1132,1541,679,2200,3.304841592933648,3.1882783882783885,3.489088891628652,3.2553128564789384,3.5307576309084294,0.3008105033502635,0.275444774429491,italian
madarsky,1285,862,842,1305,2147,3.225224954558428,3.7655677655677655,2.656885710763161,1.7786978748574083,6.785918568977173,-1.1086820548046044,5.007220694119765,hungarian
spanielsky,966,915,1316,565,1871,2.8106175547176613,2.830769230769231,2.8202441129330538,2.7800076048840254,2.9379647444230668,-0.010525117836177156,0.15795713953904134,spanish
cesky,669,595,815,449,1263,1.897279514488726,1.9604395604395606,1.8339292319072862,1.7216612446660187,2.334771982736207,-0.1265103285322744,0.6131107380701883,czech
japonsky,334,813,790,357,1137,1.7080022232570717,0.9787545787545787,2.50585624460609,1.6688495500443619,1.8563777234673184,1.5271016658515113,0.18752817342295658,japanese
polsky,348,484,561,271,832,1.2498310024185433,1.01978021978022,1.4918012575514732,1.1850944273099835,1.4091830898029223,0.47202103777125326,0.2240886624929388,polish
chorvatsky,38,23,46,15,61,0.09163424416770569,0.11135531135531135,0.07089138207372703,0.0971735181038489,0.07799906401123187,-0.04046392928158432,-0.019174454092617033,croatian
romsky,24,36,34,26,60,0.09013204344364495,0.07032967032967034,0.11096042411539885,0.07182390468545354,0.13519837761946857,0.0406307537857285,0.06337447293401503,romani
srbsky,42,16,45,13,58,0.08712764199552343,0.12307692307692308,0.04931574405128837,0.09506105031898263,0.06759918880973428,-0.07376117902563471,-0.027461861509248342,serbian
cinsky,15,36,31,20,51,0.0766122369270982,0.04395604395604395,0.11096042411539885,0.0654865013308547,0.10399875201497581,0.06700438015935489,0.03851225068412112,chinese
arabsky,25,23,40,8,48,0.07210563475491595,0.07326007326007326,0.07089138207372703,0.08449871139465122,0.04159950080599033,-0.002368691186346236,-0.04289921058866089,arabic
hebrejsky,9,26,22,13,34,0.051074824618065465,0.026373626373626377,0.08013808408334361,0.046474291267058175,0.06759918880973428,0.05376445770971723,0.02112489754267611,hebrew
holandsky,15,14,20,9,29,0.04356382099776172,0.04395604395604395,0.043151276044877326,0.04224935569732561,0.04679943840673912,-0.0008047679111666262,0.004550082709413511,dutch
rumunsky,13,11,16,8,24,0.036052817377457975,0.0380952380952381,0.03390457403526075,0.03379948455786049,0.04159950080599033,-0.004190664059977346,0.007800016248129836,romanian
portugalsky,10,8,11,7,18,0.02703961303309348,0.029304029304029304,0.024657872025644186,0.023237145633529088,0.03639956320524154,-0.0046461572783851185,0.013162417571712454,portuguese
korejsky,8,8,13,3,16,0.024035211584971985,0.023443223443223443,0.024657872025644186,0.02746208120326165,0.015599812802246375,0.0012146485824207423,-0.011862268401015275,korean
ukrajinsky,10,5,13,2,15,0.022533010860911237,0.029304029304029304,0.015411170016027615,0.02746208120326165,0.010399875201497582,-0.013892859288001689,-0.017062206001764068,ukrainian
svedsky,4,10,8,6,14,0.021030810136850486,0.011721611721611722,0.03082234003205523,0.016899742278930246,0.03119962560449275,0.01910072831044351,0.014299883325562503,swedish
esperanto,3,5,6,2,8,0.012017605792485992,0.008791208791208793,0.015411170016027615,0.012674806709197685,0.010399875201497582,0.006619961224818822,-0.0022749315077001033,esperanto
latincina,5,2,4,3,7,0.010515405068425243,0.014652014652014652,0.006164468006411046,0.008449871139465123,0.015599812802246375,-0.008487546645603606,0.007149941662781252,latin
