dataset,seed,axis,n_train,embed_dim,leakage_pre,leakage_post,drop
pokec-z,3,gender,10000,512,0.8327293374986231,0.6424655262072552,0.19026381129136793
pokec-z,3,region,10000,512,0.5784174752464721,0.532914238170952,0.045503237075520175
pokec-z,3,age_group,10000,512,0.9964237574480235,0.7538894487293136,0.24253430871870985
pokec-z,3,gender_x_age,10000,512,0.947828030121674,0.6474253439432659,0.30040268617840815
pokec-z,3,gender_x_region,10000,512,0.7297231915053914,0.5778538403926121,0.15186935111277933
pokec-z,7,gender,10000,512,0.8153044042725732,0.6230640593093919,0.19224034496318132
pokec-z,7,region,10000,512,0.5691696515162206,0.5122686655128477,0.0569009860033729
pokec-z,7,age_group,10000,512,0.9983706343281943,0.7797119155593695,0.2186587187688248
pokec-z,7,gender_x_age,10000,512,0.9468214422545137,0.7169554729937578,0.22986596926075586
pokec-z,7,gender_x_region,10000,512,0.7101702334304343,0.5771049559816401,0.13306527744879415
pokec-z,21,gender,10000,512,0.8089033730357321,0.6229132619357421,0.18599011109998997
pokec-z,21,region,10000,512,0.5692480997744156,0.5224688803636172,0.046779219410798434
pokec-z,21,age_group,10000,512,0.9961911819821347,0.7489034593751875,0.2472877226069472
pokec-z,21,gender_x_age,10000,512,0.9429093571524509,0.6816193151779989,0.26129004197445205
pokec-z,21,gender_x_region,10000,512,0.7039172858519421,0.5694287838688985,0.13448850198304363
pokec-z,42,gender,10000,512,0.7834439982766656,0.616714038082744,0.1667299601939215
pokec-z,42,region,10000,512,0.5581128363174084,0.519514062630666,0.03859877368674236
pokec-z,42,age_group,10000,512,0.9949477847096819,0.7719962603150904,0.22295152439459154
pokec-z,42,gender_x_age,10000,512,0.9350952999285486,0.693377232057152,0.2417180678713966
pokec-z,42,gender_x_region,10000,512,0.6890297676306002,0.5615056137215073,0.12752415390909289
pokec-z,99,gender,10000,512,0.7922068714755858,0.6317861278669824,0.16042074360860337
pokec-z,99,region,10000,512,0.5731946346995849,0.5326280425883276,0.04056659211125724
pokec-z,99,age_group,10000,512,0.9970192577025497,0.7689396941092367,0.22807956359331305
pokec-z,99,gender_x_age,10000,512,0.9410895368385295,0.6646246562350665,0.27646488060346297
pokec-z,99,gender_x_region,10000,512,0.6986883362366586,0.5850727787721987,0.11361555746445995
pokec-n,3,gender,10000,512,0.8086087109575013,0.6111677547363031,0.19744095622119817
pokec-n,3,region,10000,512,0.5556948852299705,0.5312860479663926,0.0244088372635779
pokec-n,3,age_group,10000,512,0.9970736417341982,0.7902575714797715,0.20681607025442672
pokec-n,3,gender_x_age,10000,512,0.9428494883010825,0.6993316131270442,0.24351787517403833
pokec-n,3,gender_x_region,10000,512,0.7049725846715408,0.5572993512898199,0.1476732333817209
pokec-n,7,gender,10000,512,0.8132369725675355,0.6100745979087752,0.2031623746587603
pokec-n,7,region,10000,512,0.5609591208791209,0.5278788571428571,0.033080263736263826
pokec-n,7,age_group,10000,512,0.9917472750110349,0.7517440504563274,0.24000322455470746
pokec-n,7,gender_x_age,10000,512,0.9386124639466332,0.6764478397649797,0.26216462418165354
pokec-n,7,gender_x_region,10000,512,0.7070719299863854,0.562942305744619,0.14412962424176634
pokec-n,21,gender,10000,512,0.8171097366380207,0.6001078241552668,0.2170019124827539
pokec-n,21,region,10000,512,0.5600688101454474,0.5190120263089846,0.04105678383646283
pokec-n,21,age_group,10000,512,0.9951460120777166,0.7433747135841874,0.2517712984935292
pokec-n,21,gender_x_age,10000,512,0.9425263816293703,0.6558289020638992,0.2866974795654711
pokec-n,21,gender_x_region,10000,512,0.7065791140894607,0.573600622938091,0.13297849115136973
pokec-n,42,gender,10000,512,0.7918612179298444,0.6025492109352798,0.18931200699456463
pokec-n,42,region,10000,512,0.559090223475746,0.5093576459620262,0.049732577513719844
pokec-n,42,age_group,10000,512,0.9965006417984145,0.7803156204166486,0.21618502138176587
pokec-n,42,gender_x_age,10000,512,0.9390789608230619,0.6829586852893553,0.25612027553370653
pokec-n,42,gender_x_region,10000,512,0.6917240781824376,0.5619975344225345,0.1297265437599031
pokec-n,99,gender,10000,512,0.7905482443364814,0.62390945220379,0.1666387921326914
pokec-n,99,region,10000,512,0.5409624463773961,0.514288389522841,0.02667405685455515
pokec-n,99,age_group,10000,512,0.995749830811918,0.7618892924119889,0.23386053839992915
pokec-n,99,gender_x_age,10000,512,0.9367502581263901,0.6622890546758392,0.2744612034505509
pokec-n,99,gender_x_region,10000,512,0.6871789605727899,0.5808215157465608,0.10635744482622911
