target,binarisation,seed,n_pos,pct_pos,test_f1_macro,delta_dp,delta_eo,leakage_auc,wall_sec
I_am_working_in_field,value > 0,3,4287,0.0644,0.5013,0.0004,0.0034,0.7475,2.8
I_am_working_in_field,value > 0,7,4287,0.0644,0.5225,0.0128,0.0011,0.7728,1.6
I_am_working_in_field,value > 0,21,4287,0.0644,0.5246,0.0157,0.033,0.7881,2.5
I_am_working_in_field,value > 0,42,4287,0.0644,0.505,0.005,0.0339,0.7814,2.2
I_am_working_in_field,value > 0,99,4287,0.0644,0.5176,0.0026,0.0078,0.7726,2.2
completed_level_of_education_indicator,direct (0/1),3,31774,0.4773,0.9391,0.0393,0.0223,0.7407,13.4
completed_level_of_education_indicator,direct (0/1),7,31774,0.4773,0.9378,0.0373,0.0159,0.7557,12.1
completed_level_of_education_indicator,direct (0/1),21,31774,0.4773,0.9417,0.0297,0.0077,0.7672,13.9
completed_level_of_education_indicator,direct (0/1),42,31774,0.4773,0.9373,0.0411,0.0215,0.7531,11.3
completed_level_of_education_indicator,direct (0/1),99,31774,0.4773,0.9411,0.0381,0.0216,0.7375,12.0
nefajcim,direct (0/1),3,21861,0.3284,0.9382,0.0024,0.0032,0.7431,10.8
nefajcim,direct (0/1),7,21861,0.3284,0.9408,0.0073,0.0049,0.7553,15.9
nefajcim,direct (0/1),21,21861,0.3284,0.9397,0.0005,0.0049,0.7608,16.9
nefajcim,direct (0/1),42,21861,0.3284,0.938,0.0047,0.0006,0.7366,10.3
nefajcim,direct (0/1),99,21861,0.3284,0.9441,0.0087,0.0048,0.7641,15.1
marital_status_indicator,direct (0/1),3,32243,0.4844,0.9192,0.0115,0.0174,0.7592,11.1
marital_status_indicator,direct (0/1),7,32243,0.4844,0.9217,0.0109,0.0211,0.7456,13.2
marital_status_indicator,direct (0/1),21,32243,0.4844,0.9248,0.0104,0.0156,0.7583,11.5
marital_status_indicator,direct (0/1),42,32243,0.4844,0.9219,0.0069,0.0212,0.7452,13.3
marital_status_indicator,direct (0/1),99,32243,0.4844,0.9206,0.0118,0.0252,0.7407,11.1
stredoskolske,direct (0/1),3,13371,0.2009,0.892,0.0025,0.0141,0.7556,12.7
stredoskolske,direct (0/1),7,13371,0.2009,0.8912,0.0208,0.0351,0.7592,15.4
stredoskolske,direct (0/1),21,13371,0.2009,0.8894,0.0097,0.013,0.7549,11.9
stredoskolske,direct (0/1),42,13371,0.2009,0.8915,0.004,0.0141,0.7524,11.3
stredoskolske,direct (0/1),99,13371,0.2009,0.8943,0.0127,0.017,0.7507,15.3
relation_to_children_indicator,direct (0/1),3,21391,0.3213,0.844,0.0457,0.0371,0.7684,7.6
relation_to_children_indicator,direct (0/1),7,21391,0.3213,0.8494,0.0469,0.0258,0.7502,11.3
relation_to_children_indicator,direct (0/1),21,21391,0.3213,0.8505,0.0363,0.0072,0.7592,11.3
relation_to_children_indicator,direct (0/1),42,21391,0.3213,0.8493,0.0331,0.003,0.7701,8.3
relation_to_children_indicator,direct (0/1),99,21391,0.3213,0.8484,0.0331,0.0023,0.7505,12.5
abstinent,direct (0/1),3,7847,0.1179,0.8799,0.0103,0.0429,0.746,16.8
abstinent,direct (0/1),7,7847,0.1179,0.8835,0.0181,0.1049,0.7435,14.9
abstinent,direct (0/1),21,7847,0.1179,0.8846,0.018,0.083,0.7722,16.5
abstinent,direct (0/1),42,7847,0.1179,0.6603,0.0218,0.0789,0.7613,3.2
abstinent,direct (0/1),99,7847,0.1179,0.8868,0.0149,0.0794,0.7511,13.2
high_edu,stredoskolske OR vysoke_skoly > 0,3,13371,0.2009,0.9994,0.0154,0.0007,0.7355,17.2
high_edu,stredoskolske OR vysoke_skoly > 0,7,13371,0.2009,0.9975,0.0146,0.0035,0.7419,13.9
high_edu,stredoskolske OR vysoke_skoly > 0,21,13371,0.2009,0.9995,0.0151,0.0015,0.7575,13.6
high_edu,stredoskolske OR vysoke_skoly > 0,42,13371,0.2009,0.9993,0.0146,0.0044,0.7355,14.0
high_edu,stredoskolske OR vysoke_skoly > 0,99,13371,0.2009,0.9992,0.0152,0.0007,0.7437,17.0
